LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,ZIP CODE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LATITUDE,LONGITUDE,selected
"JORDAN'S FOOD OF DISTINCTION, INC.",JORDAN'S FOOD OF DISTINCTION,1551 W THOMAS ST,60642,6/13/17,6/15/17,41.90142,-87.66709,polygon
"COMPASS GROUP USA, INC.",EUREST DINING SERVICES,440 S LA SALLE ST 3,60605,6/9/15,6/15/17,41.87589,-87.63188,polygon
"JOIE DE VIVRE HOSPITALITY, LLC",CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 1-19,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
"COMPASS GROUP USA, INC.",EUREST DINING SERVICES,440 S LA SALLE ST 3,60605,6/9/15,6/15/17,41.87589,-87.63188,polygon
"JOIE DE VIVRE HOSPITALITY, LLC",CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 1-19,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
"VHC LOWER, LLC","VHC LOWER, LLC",203 N WABASH AVE LL - 3,60601,5/22/15,6/15/17,41.88583,-87.62614,polygon
"JOIE DE VIVRE HOSPITALITY, LLC",CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 1-19,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
"SODEXO AMERICA, LLC",HARRY'S CAFE,350 E SUPERIOR ST 1,60611,5/20/15,6/15/17,41.89594,-87.61854,polygon
SHAKE SHACK CAA CHICAGO LLC,SHAKE SHACK,12 S MICHIGAN AVE,60603,5/27/15,6/15/17,41.88180,-87.62450,polygon
"B-KEG, LLC",THE GENERAL,2528 N CALIFORNIA AVE 1,60647,5/18/15,6/15/17,41.92744,-87.69763,polygon
"THE GODDESS AND BAKER WABASH, LLC",GODDESS AND THE BAKER,33 S WABASH AVE 1ST,60603,5/18/15,6/15/17,41.88124,-87.62604,polygon
"LEGENDS MUSIC, LLC",FIRST MERIT PAVILION,1300 S LYNN WHITE DR,60605,6/8/15,6/15/17,41.86631,-87.61027,polygon
"JNP RESTAURANTS, LLC",THE BLANCHARD,1935 N LINCOLN PARK WEST  1,60614,6/2/15,6/15/17,41.91717,-87.63620,polygon
"21 EAST BELLEVUE MANAGEMENT, LLC",NICO,1015 N RUSH ST,60611,6/9/15,6/15/17,41.90120,-87.62756,polygon
AMK GROUP LLC,AMK KITCHEN BAR,1954 W ARMITAGE AVE 1,60622,5/29/15,6/15/17,41.91787,-87.67740,polygon
"FRANKLIN ROOM, LLC",FRANKLIN ROOM,675 N FRANKLIN ST LWR LVL,60654,6/9/15,6/15/17,41.89459,-87.63551,polygon
"READ IT AND EAT, LLC",READ IT AND EAT,2142 N HALSTED ST 1ST,60614,5/26/15,6/15/17,41.92127,-87.64876,polygon
DYLAN'S CANDYBAR LLC,DYLAN'S CANDY BAR,435-445 N MICHIGAN AVE 1-2,60611,5/28/15,6/15/17,41.89042,-87.62397,polygon
"JOIE DE VIVRE HOSPITALITY, LLC",CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 1-19,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
"NYWF LINCOLN PARK, INC.",NEW YORK WING FACTORY,2464-2466 N LINCOLN AVE 1,60614,6/11/15,6/15/17,41.92674,-87.65079,polygon
"JOIE DE VIVRE HOSPITALITY, LLC",CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 1-19,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
INTEGRATED MOTOR CLUB LLC,HAMPTON INN CHICAGO DOWNTOWN,68 E WACKER PL,60601,5/18/15,6/15/17,41.88692,-87.62528,polygon
"VPC NAVY PIER PIZZA, LLC",GIORDANO'S NAVY PIER,700 E GRAND AVE  GF-1,60611,5/22/15,6/15/17,41.89225,-87.60952,polygon
CHERRY CIRCLE ROOM LLC,THE CHERRY CIRCLE ROOM,12 S MICHIGAN AVE 2,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
"LITTLE GOAT, LLC",LITTLE GOAT DINER,818-822 W RANDOLPH ST 1 & 2,60607,5/22/15,6/15/17,41.88450,-87.64829,polygon
CHERRY CIRCLE ROOM LLC,THE CHERRY CIRCLE ROOM,12 S MICHIGAN AVE 2,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
CHERRY CIRCLE ROOM LLC,THE CHERRY CIRCLE ROOM,12 S MICHIGAN AVE 2,60603,5/15/15,6/15/17,41.88180,-87.62450,polygon
"SODEXO AMERICA, LLC",HARRY'S CAFE,350 E SUPERIOR ST 1,60611,5/20/15,6/15/17,41.89594,-87.61854,polygon
"NANDO'S OF LAKEVIEW, LLC",NANDO'S PERI-PERI,670 W DIVERSEY PKWY 1,60614,6/10/15,6/15/17,41.93288,-87.64627,polygon
"M 2 DINING, INC.",M2 Dining dba Lark,3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
ARCO DE CUCHILLEROS INC,Dive Bar,3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
"VENICCI PIZZA, INC.",Venicci Pizza,3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
3733 NORTH HALSTED INC.,The North End,3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
CENTER ON HALSTED,Center on Halsted,3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
"DS CANTINA, INC.",D.S. Cantina dba D.S. Tequila,3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
3407 PAULINA INC.,WATERHOUSE TAVERN AND GRILL,900 W RANDOLPH ST,60607,6/14/17,6/18/17,41.88448,-87.64983,polygon
"U Go Boy, Inc.","U Go Boy, Inc.",3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
"PIZZA PANINOS, INC.",Pizzas Panino's,3600 N HALSTED ST,60613,6/15/17,6/18/17,41.94740,-87.64964,polygon
"LIZZIE MCNEILL'S, INC.",Lizzie McNeill's,400 N MCCLURG CT,60611,6/21/17,6/21/17,41.88912,-87.61775,polygon
CHRISTOPHER HOUSE,SUMMER CONCERT,113 N ELIZABETH ST,60607,6/21/17,6/22/17,41.88332,-87.65866,polygon
CHRISTOPHER HOUSE,PRIME EIGHT ART ORGANIZATION CHARITY EVENT,113 N ELIZABETH ST 1,60607,6/21/17,6/24/17,41.88332,-87.65866,polygon
SWEET BABY RAY'S BARBECUE WOOD DALE LLC,SWEET BABY RAY'S BARBECUE WOOD DALE LLC,50 W WASHINGTON ST,60602,6/22/17,6/24/17,41.88332,-87.62978,polygon
"VIPER ROOM, INC.","VIPER ROOM, INC.",1600 N LAKE SHORE DR,60614,6/22/17,6/24/17,41.91122,-87.62648,polygon
"CHICAGO LOCAL FOODS, LLC",Chicago Local Foods,1427 W WILLOW ST,60642,6/22/17,6/24/17,41.91429,-87.66282,polygon
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOODSERVICE LP,1901 W MADISON ST,60612,6/22/17,6/24/17,41.88124,-87.67428,polygon
THE WHISTLER LLC,"The Whistler, LLC",2575 N MILWAUKEE AVE,60647,6/22/17,6/25/17,41.92827,-87.70586,polygon
"235 ASHLAND HOLDINGS, INC.","235 ASHLAND HOLDINGS, INC.",1500-1600 W FULTON ST,60607,6/9/17,6/25/17,41.88666,-87.66438,polygon
NEW LEADERS COUNCIL ILLINOIS LLC,NEW LEADERS COUNCIL CHICAGO,3015 W DIVISION ST,60622,6/28/17,6/28/17,41.90277,-87.70224,polygon
CHRISTOPHER HOUSE,SUMMER CONCERT,113 N ELIZABETH ST,60607,6/28/17,6/29/17,41.88332,-87.65866,polygon
EAST ROOM LTD.,East Room,2354 N MILWAUKEE AVE,60647,6/7/17,7/2/17,41.92391,-87.69923,polygon
"BEHIND THE SCENES CHICAGO, INC.",PARAMOUNT EVENTS,200 N COLUMBUS DR,60601,7/5/17,7/9/17,41.88601,-87.62083,polygon
PILOT LIGHT,PILOT LIGHT/VANS COLLABORATION SPECIAL EVENT,113 N ELIZABETH ST,60607,7/13/17,7/13/17,41.88332,-87.65866,polygon
"TALBOTT ASSOCIATES, LP",20 EAST,10-20 E DELAWARE PL,60611,6/30/15,7/15/17,41.89926,-87.62783,polygon
"TALBOTT ASSOCIATES, LP",20 EAST,10-20 E DELAWARE PL,60611,6/30/15,7/15/17,41.89926,-87.62783,polygon
"VIPER ROOM, INC.","VIPER ROOM, INC.",1600 N LAKE SHORE DR,60614,7/14/17,7/15/17,41.91122,-87.62648,polygon
"AURELIO'S PIZZA SOUTH LOOP, LLC",AURELIO'S PIZZA,1212 S MICHIGAN AVE 1ST,60605,6/17/15,7/15/17,41.86706,-87.62429,polygon
"ARBOR RESTAURANT, LLC",ARBOR,2545 W DIVERSEY AVE 2ND 220,60647,6/25/15,7/15/17,41.93202,-87.69217,polygon
"BAR SIENA, LLC",BAR SIENA,832 W RANDOLPH ST 1 & 2,60607,7/1/15,7/15/17,41.88450,-87.64867,polygon
"ARBOR RESTAURANT, LLC",ARBOR,2545 W DIVERSEY AVE 2ND 220,60647,6/25/15,7/15/17,41.93202,-87.69217,polygon
VILLALBA & PONCE INCORPORATED,MI PUEBLO BAR & GRILL,3601 W NORTH AVE,60647,6/30/15,7/15/17,41.90988,-87.71675,polygon
SOUTHPORT MUSIC BOX CORPORATION,MUSIC BOX THEATRE,3733-3735 N SOUTHPORT AVE 1ST,60613,7/2/15,7/15/17,41.94986,-87.66395,polygon
"LOKAL CONTEMPORARY EUROPEAN, INC.",LOKAL CONTEMPORARY EUROPEAN,2500 N ASHLAND AVE 1,60614,7/14/15,7/15/17,41.92705,-87.66836,polygon
"LODGING CONCESSIONS, LLC",HYATT PLACE,28 N FRANKLIN ST,60606,6/25/15,7/15/17,41.88265,-87.63547,polygon
"LITTLE GOAT, LLC",LITTLE GOAT DINER,818-822 W RANDOLPH ST 1 & 2,60607,6/18/15,7/15/17,41.88450,-87.64829,polygon
"BALLINGARY MANAGEMENT, INC.",COALFIRE PIZZA,3705-3707 N SOUTHPORT AVE,60613,7/2/15,7/15/17,41.94909,-87.66393,polygon
WYLER ROAD INC.,WYLER ROAD,3581 W BELDEN AVE 1,60647,6/23/15,7/15/17,41.92267,-87.71686,polygon
"BAR SIENA, LLC",BAR SIENA,832 W RANDOLPH ST 1 & 2,60607,7/1/15,7/15/17,41.88450,-87.64867,polygon
WYLER ROAD INC.,WYLER ROAD,3581 W BELDEN AVE 1,60647,6/23/15,7/15/17,41.92267,-87.71686,polygon
"AURELIO'S PIZZA SOUTH LOOP, LLC",AURELIO'S PIZZA,1212 S MICHIGAN AVE 1ST,60605,6/17/15,7/15/17,41.86706,-87.62429,polygon
"BAR SIENA, LLC",BAR SIENA,832 W RANDOLPH ST 1 & 2,60607,7/1/15,7/15/17,41.88450,-87.64867,polygon
"MY SWEET STATION INC.,",MY SWEET STATION INC,2511 N LINCOLN AVE 1,60614,7/7/15,7/15/17,41.92758,-87.65153,polygon
"LODGING CONCESSIONS, LLC",HYATT PLACE,28 N FRANKLIN ST,60606,6/25/15,7/15/17,41.88265,-87.63547,polygon
"JARRGON, INC.",HAYWOOD TAVERN,2759 W AUGUSTA BLVD 1,60622,6/22/15,7/15/17,41.89917,-87.69673,polygon
HERZAR LLC,THE TAMALE SPACESHIP,324 N LEAVITT ST,60612,7/6/15,7/15/17,41.88743,-87.68185,polygon
KANELA III LLC,KANELA BREAKFAST CLUB,502 E ILLINOIS ST 1ST,60611,7/9/15,7/15/17,41.89121,-87.61504,polygon
"DON PANCHO'S MEXICAN RESTAURANT, INC",Pancho Pistolas Authentic Mexican Restaurant,4438 W WRIGHTWOOD AVE,60639,6/22/17,7/16/17,41.92875,-87.73828,polygon
CONSTELLATION ARTS LLC,"Constellation Arts, LLC",1501 W RANDOLPH ST,60607,7/11/17,7/16/17,41.88471,-87.66428,polygon
CLARK HUBBARD LLC,Bub City,560 W GRAND AVE,60654,7/11/17,7/16/17,41.89137,-87.64280,polygon
BLUE PLATE CATERING LTD.,BLUE PLATE CATERING,500 S COLUMBUS DR,60605,7/13/17,7/16/17,41.87571,-87.62074,polygon
WALDORF=ASTORIA MANAGEMENT LLC,WALDORF ASTORIA CHICAGO,11 E WALTON ST,60611,7/19/17,7/19/17,41.89983,-87.62780,polygon
THE CATERING COMPANY,The Catering Company dba Limelight,1801 N CLARK ST,60614,7/11/17,7/20/17,41.91491,-87.63376,polygon
"SAL GADD, INC.",O'Learys Public House,337 E RANDOLPH ST,60601,7/21/17,7/23/17,41.88422,-87.61934,polygon
"JORDAN'S FOOD OF DISTINCTION, INC.",JORDAN'S FOOD OF DISTINCTION,171 N STATE ST,60601,7/13/17,7/26/17,41.88516,-87.62778,polygon
SUBTERRANEAN LIMITED PART.,Subterranean,1317 N MILWAUKEE AVE,60622,7/12/17,7/30/17,41.90571,-87.66993,polygon
"MENETTI NORTH AVENUE, LLC",The Tavern,1317 N MILWAUKEE AVE,60622,7/12/17,7/30/17,41.90571,-87.66993,polygon
"O' DADDY, LLC",The Smoke Daddy,1317 N MILWAUKEE AVE,60622,7/12/17,7/30/17,41.90571,-87.66993,polygon
FOUNDATION INVESTMENTS INC,FOUNDATION INVESTMENTS INC,2400 N LINCOLN AVE,60614,7/28/17,7/30/17,41.92544,-87.64895,polygon
"442, LLC",PUB 97,1600 N LAKE SHORE DR,60614,7/27/17,7/30/17,41.91122,-87.62648,polygon
PILOT LIGHT,PILOT LIGHT/VANS COLLABORATION INDOOR EVENT,113 N ELIZABETH ST 1,60607,7/28/17,7/31/17,41.88332,-87.65866,polygon
O'NEIL'S BAR & GRILL CORPORATION,O'Neil's Bar & Grill,411 S FINANCIAL PL,60605,7/19/17,8/2/17,41.87657,-87.63296,polygon
"TICE, INC.",Tice Inc. (Standard Bar),1332 N MILWAUKEE AVE,60622,8/3/17,8/5/17,41.90588,-87.67067,polygon
BARNBQ LLC,BarnBQ LLC dba Barn & Co.,500 S COLUMBUS DR,60605,7/24/17,8/6/17,41.87571,-87.62074,polygon
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOOD SERVICES LTD,1901 W MADISON ST,60612,7/11/17,8/8/17,41.88124,-87.67428,polygon
"BIALYNIA PARTNERS, LLC",THE DOCK AT MONTROSE BEACH,1600 N LAKE SHORE DR,60614,8/10/17,8/12/17,41.91122,-87.62648,polygon
"PAIRED WINE COMPANY CHICAGO, INC.",PAIRED WINE COMPANY CHICAGO,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
"SIDE BY SIDE, INC.",SIDETRACK,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
3702 N. HALSTED CORP.,CELL BLOCK,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
BJ BAR LLC,TOM'S BISTRO 750,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
Y. KATSUMURA CORP.,TOSHI'S CAFE,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
BUCKS SALOON INC,REPLY BEER & BOURBON,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
"ROSCOE'S TAVERN, LTD.",ROSCOE'S TAVERN,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
"ALLEN GRAHAM VAN HULLE ENTERPRISES, INC.",THE LUCKY HORSESHOE,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
"THE GOURMET GRAPE, INC.",THE TWISTED VINE,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
HALSTED HOSPITALITY LLC,PROCESS BAR,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
"O SPOT, INC.",SCARLET BAR,3200 N HALSTED ST,60657,8/9/17,8/13/17,41.94003,-87.64942,polygon
LITTLE JIM'S INC,LITTLE JIM'S,3200 N HALSTED ST,60657,8/10/17,8/13/17,41.94003,-87.64942,polygon
"REVEL BAR GROUP, LLC",WISE OWL DRINKERY & COOKHOUSE,324 S RACINE AVE,60607,8/10/17,8/13/17,41.87698,-87.65715,polygon
"HOT TUNA, INC",DREW'S ON HALSTED,3200 N HALSTED ST,60657,8/10/17,8/13/17,41.94003,-87.64942,polygon
"CHRISTOPHER ST., LTD.",HYDRATE,3200 N HALSTED ST,60657,8/10/17,8/13/17,41.94003,-87.64942,polygon
"PUSSYTAILS, INC.",WOOD,3200 N HALSTED ST,60657,8/10/17,8/13/17,41.94003,-87.64942,polygon
"THE CHICAGO DINER, INC.",THE CHICAGO DINER,3200 N HALSTED ST,60657,8/10/17,8/13/17,41.94003,-87.64942,polygon
"LAS PALMAS OF CHICAGO ON PULASKI, INC.",LAS ISLAS MARIAS,3243 N PULASKI RD 1ST,60641,7/29/15,8/15/17,41.94035,-87.72707,polygon
"LA CUISSE DE CANARD, INC.",CYRANO'S CAFE ON THE RIVER WALK,233 E RIVERWALK SOUTH  1,60601,7/27/15,8/15/17,41.88820,-87.62097,polygon
"COLON ENTERPRISES, INC.",DAISIES,2523 N MILWAUKEE AVE 1,60647,8/12/15,8/15/17,41.92729,-87.70426,polygon
"THE CHICAGO THEATER WORKS, LLC.",THE CHICAGO THEATER WORKS,1113-1115 W BELMONT AVE 1ST,60657,,8/15/17,41.93976,-87.65710,polygon
5411 DIVISION LLC,5411 EMPANADAS,1659 W DIVISION ST 1ST,60622,8/17/15,8/15/17,41.90320,-87.66980,polygon
"USE IL SERVICES, LLC",GREENRIVER CHICAGO,259 E ERIE ST 18,60611,8/7/15,8/15/17,41.89409,-87.62040,polygon
INTEGRATED CLARK MONROE LLC,HYATT CENTRIC THE LOOP CHICAGO,100 W MONROE ST 1-23,60603,8/5/15,8/15/17,41.88081,-87.63093,polygon
"PEAS AND CARROTS HOSPITALITY, CHICAGO, LLC",BERNIE'S LUNCH & SUPPER,660 N ORLEANS ST 1&ROOF,60654,8/10/15,8/15/17,41.89406,-87.63725,polygon
2545 N KEDZIE LLC,JOHNNY'S GRILL 1,2545-2547 N KEDZIE BLVD 1,60647,7/20/15,8/15/17,41.92788,-87.70693,polygon
216 RESTAURANT LLC,JACKSON TAVERN,216 W JACKSON BLVD 1,60606,8/5/15,8/15/17,41.87822,-87.63425,polygon
SWEAT THE SOUND INC.,COLE'S,2338 N MILWAUKEE AVE,60647,7/22/15,8/15/17,41.92360,-87.69871,polygon
MALNACHI LLC,BUZZ BAIT,1529 N WELLS ST 1ST,60610,8/12/15,8/15/17,41.91003,-87.63453,polygon
SYDELL HOSTEL MANAGER LLC,FREEHAND CHICAGO / CAFE INTEGRAL / BROKEN SHAKER,17-19 E OHIO ST 1-17,60611,8/10/15,8/15/17,41.89237,-87.62733,polygon
"USE IL SERVICES, LLC",GREENRIVER CHICAGO,259 E ERIE ST 18,60611,8/7/15,8/15/17,41.89409,-87.62040,polygon
B & B MADISON ENTERTAIMENT CORP.,BRICKS NIGHT CLUB,4422 W MADISON ST 1,60624,7/24/15,8/15/17,41.88071,-87.73644,polygon
4 STAR 160 LLC,THE WINDSOR,160 E HURON ST,60611,7/15/15,8/15/17,41.89507,-87.62303,polygon
"SAAJ CAFE, INC.",TAXIM,1558 N MILWAUKEE AVE 1,60622,7/24/15,8/15/17,41.90974,-87.67669,polygon
"LPQ N. WELLS ST, INC.",LE PAIN QUOTIDIEN,1562 N WELLS ST 1ST,60610,8/7/15,8/15/17,41.91095,-87.63485,polygon
"USE IL SERVICES, LLC",GREENRIVER CHICAGO,259 E ERIE ST 18,60611,8/7/15,8/15/17,41.89409,-87.62040,polygon
B & B MADISON ENTERTAIMENT CORP.,BRICKS NIGHT CLUB,4422 W MADISON ST 1,60624,7/24/15,8/15/17,41.88071,-87.73644,polygon
351 KINGSBURY CORNER LLC,THE HAMPTON SOCIAL AND THE BASEMENT,351 W HUBBARD ST LL & 1ST,60654,7/17/15,8/15/17,41.88983,-87.63751,polygon
351 KINGSBURY CORNER LLC,THE HAMPTON SOCIAL AND THE BASEMENT,351 W HUBBARD ST LL & 1ST,60654,7/20/15,8/15/17,41.88983,-87.63751,polygon
"THE CHICAGO THEATER WORKS, LLC.",THE CHICAGO THEATER WORKS,1113-1115 W BELMONT AVE 1ST,60657,7/30/15,8/15/17,41.93976,-87.65710,polygon
"LPQ N. WELLS ST, INC.",LE PAIN QUOTIDIEN,1562 N WELLS ST 1ST,60610,8/7/15,8/15/17,41.91095,-87.63485,polygon
"BEERMISCUOUS, LLC",BEERMISCUOUS,3410 N SOUTHPORT AVE,60657,6/15/17,8/17/17,41.94376,-87.66407,polygon
"BEHIND THE SCENES CHICAGO, INC.",PARAMOUNT EVENTS,250 W WACKER DR,60606,7/11/17,8/17/17,41.88698,-87.63543,polygon
PILOT LIGHT,PILOT LIGHT/VANS COLLABORATION INDOOR EVENT,113 N ELIZABETH ST,60607,8/8/17,8/19/17,41.88332,-87.65866,polygon
"LAKEFRONT OPERATIONS, INC.",North Ave. Beach House,1603 N LAKE SHORE DR,60614,8/7/17,8/20/17,41.91137,-87.62625,polygon
"LA VITA, INC.",DAVANTI ENOTECA,1600 W TAYLOR ST,60612,8/16/17,8/20/17,41.86937,-87.66653,polygon
GAMA INC,ROSEBUD CAFE,1600 W TAYLOR ST,60612,8/16/17,8/20/17,41.86937,-87.66653,polygon
"BEVIAMO, INC.",Beviamo Inc.,1600 W TAYLOR ST,60612,8/16/17,8/20/17,41.86937,-87.66653,polygon
DOPPES LTD.,"Doppes, Ltd.",1200 W TAYLOR ST,60607,8/16/17,8/20/17,41.86952,-87.65682,polygon
"LIZZIE MCNEILL'S, INC.",Lizzie McNeill's,2401 N LAKE SHORE DR,60614,5/26/17,8/23/17,41.92625,-87.63104,polygon
"JORDAN'S FOOD OF DISTINCTION, INC.",JORDAN'S FOOD OF DISTINCTION,170 N STATE ST,60601,8/22/17,8/24/17,41.88515,-87.62807,polygon
HOME RUN INN PIZZA-SHEFFIELD INC.,HOME RUN INN,50 W WASHINGTON ST,60602,8/23/17,8/24/17,41.88332,-87.62978,polygon
EAST ROOM LTD.,East Room Ltd,2354 N MILWAUKEE AVE,60647,7/21/17,8/27/17,41.92391,-87.69923,polygon
"CHICAGO LOCAL FOODS, LLC",Chicago Local Foods,1427 W WILLOW ST,60642,8/16/17,8/27/17,41.91429,-87.66282,polygon
EMPTY BOTTLE INC,Empty Bottle,1700 N HUMBOLDT BLVD,60647,8/16/17,8/27/17,41.91222,-87.70208,polygon
"PAVE ENTERPRISES, INC.",ATHENA RESTAURANT,333 S HALSTED ST,60661,8/24/17,8/27/17,41.87695,-87.64706,polygon
ARTOS LIMITED,ARTOPOLIS BAKERY & CAFE,333 S HALSTED ST,60661,8/24/17,8/27/17,41.87695,-87.64706,polygon
"THE RODITYS, INC.",RODITY'S RESTAURANT,333 S HALSTED ST,60661,8/24/17,8/27/17,41.87695,-87.64706,polygon
"SPECTRUM SPORTS BAR & GRILL, INC.",SPECTRUM SPORTS BAR & GRILL,333 S HALSTED ST,60661,8/24/17,8/27/17,41.87695,-87.64706,polygon
"KMFA, LTD.",SANTORINI,333 S HALSTED ST,60661,8/24/17,8/27/17,41.87695,-87.64706,polygon
"DIONISOS RESTAURANT, INC.",AMBASSADOR PUBLIC HOUSE,333 S HALSTED ST,60661,8/24/17,8/27/17,41.87695,-87.64706,polygon
"MUSES FOOD & LIQUOR, INC.",9 MUSES BAR & GRILL,333 S HALSTED ST,60661,8/24/17,8/27/17,41.87695,-87.64706,polygon
"DOWNTOWN ENTERTAINMENT, LLC",DOWNTOWN ENTERTAINMENT LLC - HQ BEERCADE II,220 W CHICAGO AVE,60654,8/21/17,8/29/17,41.89669,-87.63512,polygon
"KING'S BOWL of NEW CITY, LLC",KING'S BOWL,1457 N HALSTED ST,60642,6/29/17,8/31/17,41.90800,-87.64805,polygon
"WHERE'S THE DUKE, INC.",Where's the Duke? Inc.,1000 N LAKE SHORE DR,60611,9/1/17,9/3/17,41.90075,-87.62423,polygon
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOOD SERVICES LTD,1901 W MADISON ST,60612,7/25/17,9/3/17,41.88124,-87.67428,polygon
"1177 N. ELSTON, INC.",ESTATE ULTRA BAR,1177 N ELSTON AVE,60642,8/16/17,9/3/17,41.90343,-87.65809,polygon
BARNBQ LLC,BarnBQ LLC dba Barn & Co.,1501 W RANDOLPH ST,60607,8/25/17,9/3/17,41.88471,-87.66428,polygon
"MILLENNIUM PARK JOINT VENTURE, LLC","MILLENNIUM PARK JOINT VENTURE, LLC",100 S MICHIGAN AVE,60603,8/29/17,9/3/17,41.88077,-87.62448,polygon
"BILLY GOAT INN, INC.",Billy Goat Tavern,2526 W GRAND AVE,60612,9/5/17,9/9/17,41.89179,-87.69000,polygon
WILL'S NORTHWOOD INN INC.,Will's Northwoods Inn,3030 N RACINE AVE,60657,8/25/17,9/9/17,41.93715,-87.65902,polygon
"SAL GADD, INC.",O'Learys Public House,300 S COLUMBUS DR,60604,9/8/17,9/9/17,41.87827,-87.62082,polygon
"THE BEVERAGE SHOPPE, LLC","THE BEVERAGE SHOPPE, LLC",2000 W ROSCOE ST,60618,9/1/17,9/10/17,41.94333,-87.67851,polygon
"FRIETKOTEN ONE, LLC","Frietkoten One, LLC",601 S MICHIGAN AVE,60605,6/22/17,9/10/17,41.87438,-87.62409,polygon
B.B.L.L. INC.,BBLL Inc. / Cleo's,1630 W DIVISION ST,60622,8/22/17,9/10/17,41.90344,-87.66879,polygon
PILOT LIGHT,PILOT LIGHT/VANS COLLABORATION INDOOR EVENT,113 N ELIZABETH ST 1,60607,9/14/17,9/14/17,41.88332,-87.65866,polygon
HOME RUN INN PIZZA-SHEFFIELD INC.,HOME RUN INN,50 W WASHINGTON ST,60602,7/19/17,9/14/17,41.88332,-87.62978,polygon
"540 WEST MADISON HOSPITALITY GROUP, LLC",SLIGHTLY TOASTED,540 W MADISON ST 1 140,60661,9/11/15,9/15/17,41.88197,-87.64128,polygon
RUSSELL LANE LLC,ASSASSINATION THEATER,360 N STATE ST 2,60654,,9/15/17,41.88919,-87.62819,polygon
BBCE PIER LLC,BIG BOWL/ BIG CITY CHICKEN,600 E GRAND AVE SA7,60611,9/8/15,9/15/17,41.89209,-87.61157,polygon
TREASURE ISLAND FOODS INC,TREASURE ISLAND FOODS,2121 N CLYBOURN AVE 1ST F,60614,9/23/15,9/15/17,41.91990,-87.66181,polygon
OHIO STREET EVENTS LLC,THE IVY ROOM,12 E OHIO ST 1,60611,9/28/15,9/15/17,41.89259,-87.62760,polygon
"Nordstrom, Inc.",Cafe Nordstrom,55 E GRAND AVE,60611,8/25/15,9/15/17,41.89159,-87.62587,polygon
"RESIDENCE INN BY MARRIOTT, LLC",RESIDENCE INN CHICAGO DOWNTOWN,11 S LA SALLE ST,60603,9/11/15,9/15/17,41.88165,-87.63221,polygon
"REINS INTERNATIONAL CHICAGO, INC.",GYU-KAKU RESTAURANT,1364 W RANDOLPH ST 1ST,60607,9/4/15,9/15/17,41.88429,-87.66128,polygon
"YARD HOUSE USA, INC.",YARD HOUSE,1500 N CLYBOURN AVE 1 C101,60610,8/31/15,9/15/17,41.90856,-87.64645,polygon
"DMK NAVY PIER, LLC",DMK BURGER BAR AND FISH BAR,600 E GRAND AVE 1ST SA-15,60611,8/28/15,9/15/17,41.89209,-87.61157,polygon
"RESIDENCE INN BY MARRIOTT, LLC",RESIDENCE INN CHICAGO DOWNTOWN,11 S LA SALLE ST,60603,9/11/15,9/15/17,41.88165,-87.63221,polygon
